,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
491,0.0004934787750244141,3.553636719491331e-06,0.000292205810546875,3.193741235664435e-06,0.20648915699741316,0.038750126426955855,"{'C': 0.20648915699741316, 'gamma': 0.038750126426955855}",0.8372093023255814,0.8372093023255814,0.7619047619047619,0.8333333333333334,0.8095238095238095,0.8158361018826137,0.028872876439386026,299
492,0.00048580169677734373,7.860729612348509e-06,0.00028972625732421876,4.5447359304213925e-06,0.20648915699741316,0.05414993620051815,"{'C': 0.20648915699741316, 'gamma': 0.05414993620051815}",0.8372093023255814,0.8372093023255814,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.8205980066445184,0.0330300808545865,289
493,0.0004881381988525391,6.6528610132618545e-06,0.00028676986694335936,2.2233091787099394e-06,0.20648915699741316,0.0756698328726082,"{'C': 0.20648915699741316, 'gamma': 0.0756698328726082}",0.8604651162790697,0.8372093023255814,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8300110741971206,0.03567885646420158,257
494,0.0004826068878173828,7.037832156179463e-06,0.0002834320068359375,3.2912128308749004e-06,0.20648915699741316,0.10574201945068336,"{'C': 0.20648915699741316, 'gamma': 0.10574201945068336}",0.8604651162790697,0.8372093023255814,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8300110741971206,0.03567885646420158,257
495,0.00048055648803710935,6.386058442223818e-06,0.0002825736999511719,4.1961669921875e-06,0.20648915699741316,0.14776528839878358,"{'C': 0.20648915699741316, 'gamma': 0.14776528839878358}",0.8837209302325582,0.8372093023255814,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8346622369878183,0.040531561461794034,227
496,0.0004863739013671875,7.66655692616154e-06,0.0002812862396240234,2.9983920902752856e-06,0.20648915699741316,0.20648915699741316,"{'C': 0.20648915699741316, 'gamma': 0.20648915699741316}",0.8837209302325582,0.8372093023255814,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8346622369878183,0.040531561461794034,227
497,0.0004815578460693359,1.668248718694296e-06,0.00028095245361328127,3.350099195528087e-06,0.20648915699741316,0.28855066314649686,"{'C': 0.20648915699741316, 'gamma': 0.28855066314649686}",0.8837209302325582,0.813953488372093,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8300110741971206,0.04129948068323028,257
498,0.0005033016204833984,1.400797922283972e-05,0.00028619766235351565,3.121736012140829e-06,0.20648915699741316,0.4032244908788413,"{'C': 0.20648915699741316, 'gamma': 0.4032244908788413}",0.8837209302325582,0.813953488372093,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8300110741971206,0.04129948068323028,257
499,0.0005144119262695312,1.2392813353507974e-05,0.00028867721557617186,4.0105378443363725e-06,0.20648915699741316,0.563471205616166,"{'C': 0.20648915699741316, 'gamma': 0.563471205616166}",0.8837209302325582,0.813953488372093,0.7619047619047619,0.8571428571428571,0.8333333333333334,0.8300110741971206,0.04129948068323028,257
500,0.0005429744720458985,1.6405970317012048e-05,0.0002964019775390625,4.5221663358797725e-06,0.20648915699741316,0.7874020718992891,"{'C': 0.20648915699741316, 'gamma': 0.7874020718992891}",0.8604651162790697,0.7674418604651163,0.7619047619047619,0.8333333333333334,0.8333333333333334,0.811295681063123,0.03937402715235139,305
501,0.0005713939666748047,1.632608540878931e-05,0.0003075599670410156,5.9308268893188914e-06,0.20648915699741316,1.1003260089454092,"{'C': 0.20648915699741316, 'gamma': 1.1003260089454092}",0.8604651162790697,0.7441860465116279,0.7619047619047619,0.8333333333333334,0.8571428571428571,0.8114064230343301,0.04888427079858324,301
502,0.0005620002746582031,1.605277799406796e-05,0.0003104209899902344,3.313932486323176e-06,0.20648915699741316,1.537610033259584,"{'C': 0.20648915699741316, 'gamma': 1.537610033259584}",0.813953488372093,0.7209302325581395,0.7380952380952381,0.7857142857142857,0.8095238095238095,0.7736434108527132,0.03768385099920064,373
503,0.0005840301513671875,9.174128825238218e-06,0.00031719207763671877,2.9456034110032086e-06,0.20648915699741316,2.148676478752432,"{'C': 0.20648915699741316, 'gamma': 2.148676478752432}",0.813953488372093,0.7209302325581395,0.7380952380952381,0.7619047619047619,0.8333333333333334,0.7736434108527133,0.04328495541592923,372
504,0.0005897045135498047,1.4856060440295994e-05,0.00032505989074707033,3.107134734658224e-06,0.20648915699741316,3.0025887646926703,"{'C': 0.20648915699741316, 'gamma': 3.0025887646926703}",0.813953488372093,0.7209302325581395,0.7380952380952381,0.7857142857142857,0.7619047619047619,0.7641196013289037,0.033157928951450436,384
505,0.0006025791168212891,1.4682868388303932e-05,0.0003283500671386719,6.086728733623689e-06,0.20648915699741316,4.195857021292137,"{'C': 0.20648915699741316, 'gamma': 4.195857021292137}",0.7209302325581395,0.6976744186046512,0.7142857142857143,0.7380952380952381,0.7380952380952381,0.7218161683277963,0.015299234784454559,403
506,0.0006036758422851562,1.3539992411736352e-05,0.0003341197967529297,4.668622979850507e-06,0.20648915699741316,5.863345773535699,"{'C': 0.20648915699741316, 'gamma': 5.863345773535699}",0.6744186046511628,0.6976744186046512,0.6904761904761905,0.7142857142857143,0.7619047619047619,0.7077519379844961,0.029954423817615514,413
507,0.0006175994873046875,1.4892747411000265e-05,0.000337982177734375,6.126197749718816e-06,0.20648915699741316,8.193516481991983,"{'C': 0.20648915699741316, 'gamma': 8.193516481991983}",0.6744186046511628,0.6744186046511628,0.6904761904761905,0.7142857142857143,0.6904761904761905,0.6888150609080842,0.014620456845682752,426
508,0.0006447792053222656,1.570568704454997e-05,0.00034341812133789065,3.4929745811104657e-06,0.20648915699741316,11.449727669768906,"{'C': 0.20648915699741316, 'gamma': 11.449727669768906}",0.6744186046511628,0.6744186046511628,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.6840531561461795,0.007866578354453181,429
509,0.0006778240203857422,3.5266613172723e-06,0.0003527164459228516,6.419793798155844e-06,0.20648915699741316,16.0,"{'C': 0.20648915699741316, 'gamma': 16.0}",0.6744186046511628,0.6744186046511628,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.6840531561461795,0.007866578354453181,429
