Task,Elapsed Time (seconds)
CLOISTER,0.06681674999708775
CLOISTER,0.051216207997640595
CLOISTER,0.07593304199690465
CLOISTER,0.05536929100344423
CLOISTER,0.05426716699730605
CLOISTER,0.06234566700004507
CLOISTER,0.05739970899594482
CLOISTER,0.05730474999290891
CLOISTER,0.05281408398877829
CLOISTER,0.06352462498762179
CLOISTER,0.05680133300484158
CLOISTER,0.0773049169947626
CLOISTER,0.08586224999453407
CLOISTER,0.05455562499992084
CLOISTER,0.05476712500967551
CLOISTER,0.06425633300386835
CLOISTER,0.06922391599800903
CLOISTER,0.0614556249929592
